id,category,name,reference_url,reference_shots,menu,panel,engine,output,numeric_test,ui_test,owner,commit,limitations
S04,Structure identification,Common neighbor analysis,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,,,,Fixed cutoff; no adaptive mode; 128-neighbor cap
S05,Structure identification,Identify diamond structure,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
S06,Structure identification,Polyhedral template matching,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
S07,Structure identification,VoroTop analysis,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
Q01,Selection,Clear selection,,docs/parity/ovito/,pass,pass,pass,pass,partial,partial,,,,
Q02,Selection,Expand selection,,docs/parity/ovito/,pass,pass,pass,pass,pass,partial,P2,,,,4 OVITO modes + iterations; panel grays instead of inline red error on empty selection
Q03,Selection,Expression selection,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,P2,,,,No selection modes (set/add/remove); scalar only
Q04,Selection,Find overlapping particles,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,,,,Radius needs explicit property
Q05,Selection,Invert selection,,docs/parity/ovito/,pass,pass,pass,pass,partial,partial,,,,
Q06,Selection,Manual selection,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,,,,Table-row clicking only; no viewport picking
Q07,Selection,Select type,,docs/parity/ovito/,pass,pass,pass,pass,pass,partial,P2,,,,Multi-type checkbox table (Name|Id); union replaces selection
V01,Visualization,Add text labels,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
V02,Visualization,Construct surface mesh,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
V03,Visualization,Create bonds,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,P3,,,,Global cutoff + pairwise matrix; panel layout to align
V04,Visualization,Create isosurface,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
V05,Visualization,Coordination polyhedra,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
V06,Visualization,Generate trajectory lines,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
P01,Python modifiers,Assign shared visual element,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
P02,Python modifiers,Calculate local entropy,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
P03,Python modifiers,Identify fcc planar faults,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
P04,Python modifiers,Render LAMMPS regions,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
P05,Python modifiers,Shrink-wrap simulation box,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
C01,Coloring,Ambient occlusion,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
C02,Coloring,Assign color,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,,,,Not written to structure files on export
C03,Coloring,Color by type,,docs/parity/ovito/,pass,pass,pass,pass,partial,partial,,,,8-color palette
C04,Coloring,Color coding,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,P3,,,,Gradients not numerically matched to OVITO tables
TPL,Modifier templates,Manage templates...,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,Save/apply/serialize modifier presets
